City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Descripion
59,Monte Aprazivel,BR,-20.7725,-49.7142,87.8,22,0,3.44,2021-04-12 17:24:05,clear sky
60,Aksu,CN,41.1231,80.2644,59.25,34,7,12.48,2021-04-12 17:24:05,clear sky
61,Myaundzha,RU,63.0494,147.1858,-23.98,98,10,2.8,2021-04-12 17:24:06,clear sky
62,Isiro,CD,2.7739,27.616,67.87,99,98,3.51,2021-04-12 17:24:06,very heavy rain
63,Clyde River,CA,70.4692,-68.5914,23.0,93,90,17.27,2021-04-12 17:24:07,overcast clouds
64,Saint-Augustin,CA,51.226,-58.6502,46.72,71,7,22.68,2021-04-12 17:24:07,clear sky
65,Hilo,US,19.7297,-155.09,64.4,68,1,5.75,2021-04-12 17:24:08,clear sky
66,Dikson,RU,73.5069,80.5464,25.48,95,100,19.24,2021-04-12 17:24:08,light snow
67,Rikitea,PF,-23.1203,-134.9692,78.15,70,14,10.13,2021-04-12 17:24:08,few clouds
68,Wawa,NG,9.9022,4.4192,99.77,25,39,5.39,2021-04-12 17:24:09,scattered clouds
69,Grand Gaube,MU,-20.0064,57.6608,73.4,94,75,1.14,2021-04-12 17:24:10,light rain
70,Yurimaguas,PE,-5.9,-76.0833,89.6,58,40,4.61,2021-04-12 17:24:10,scattered clouds
71,Ahuimanu,US,21.4447,-157.8378,71.6,73,40,6.91,2021-04-12 17:24:10,scattered clouds
72,Bera,BD,24.0833,89.6167,85.33,41,42,7.72,2021-04-12 17:24:11,scattered clouds
73,Hualmay,PE,-11.0964,-77.6139,73.54,72,71,7.94,2021-04-12 17:24:12,broken clouds
74,Tessalit,ML,20.1986,1.0114,101.28,6,1,11.52,2021-04-12 17:24:12,clear sky
75,Griffith,US,41.5284,-87.4237,63.0,51,40,16.11,2021-04-12 17:24:12,scattered clouds
76,Port Elizabeth,ZA,-33.918,25.5701,69.8,94,0,12.66,2021-04-12 17:24:13,clear sky
77,Kattivakkam,IN,13.2167,80.3167,84.2,74,20,5.75,2021-04-12 17:24:13,few clouds
78,Kahului,US,20.8947,-156.47,68.0,94,20,6.6,2021-04-12 17:24:02,few clouds
79,Lompoc,US,34.6391,-120.4579,50.0,87,43,6.91,2021-04-12 17:24:14,scattered clouds
80,Loncoche,CL,-39.3667,-72.6333,68.0,68,75,2.3,2021-04-12 17:24:14,broken clouds
81,Lorengau,PG,-2.0226,147.2712,77.72,81,100,0.83,2021-04-12 17:24:14,overcast clouds
82,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,0,4.61,2021-04-12 17:24:15,light rain
83,Sidi Ali,DZ,36.0998,0.4206,60.82,75,74,15.66,2021-04-12 17:24:15,broken clouds
84,Khatanga,RU,71.9667,102.5,24.26,88,100,10.63,2021-04-12 17:24:16,overcast clouds
85,Meulaboh,ID,4.1363,96.1285,77.54,86,88,4.29,2021-04-12 17:24:16,overcast clouds
86,Bethel,US,41.3712,-73.414,51.8,58,90,6.91,2021-04-12 17:24:17,overcast clouds
87,Aiken,US,33.5835,-81.5998,82.0,26,1,16.11,2021-04-12 17:24:17,clear sky
88,Victoria,HK,22.2855,114.1577,75.99,84,45,4.5,2021-04-12 17:22:02,scattered clouds
89,Mar Del Plata,AR,-38.0023,-57.5575,75.2,46,0,11.5,2021-04-12 17:24:17,clear sky
90,Christchurch,NZ,-43.5333,172.6333,59.0,58,20,6.91,2021-04-12 17:21:37,few clouds
91,Ossora,RU,59.2353,163.0719,2.73,85,100,5.59,2021-04-12 17:24:18,overcast clouds
92,Petrozavodsk,RU,61.7849,34.3469,55.4,41,100,2.24,2021-04-12 17:21:46,overcast clouds
93,Manokwari,ID,-0.8667,134.0833,79.11,79,99,4.25,2021-04-12 17:24:19,overcast clouds
94,Kapaa,US,22.0752,-159.319,64.4,82,1,6.91,2021-04-12 17:24:19,light rain
95,Avera,US,33.194,-82.5271,82.99,26,1,16.11,2021-04-12 17:24:20,clear sky
96,Bandarbeyla,SO,9.4942,50.8122,80.55,69,65,8.99,2021-04-12 17:24:20,broken clouds
97,Vavuniya,LK,8.7514,80.4971,74.48,93,32,3.24,2021-04-12 17:24:21,scattered clouds
98,Kalmunai,LK,7.4167,81.8167,80.6,76,46,5.03,2021-04-12 17:24:21,scattered clouds
99,Jamestown,US,42.097,-79.2353,57.0,76,90,5.75,2021-04-12 17:24:21,overcast clouds
100,Pevek,RU,69.7008,170.3133,-24.45,99,100,6.13,2021-04-12 17:24:22,overcast clouds
