City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,Lorengau,-2.0226,147.2712,77.32,87,100,8.77,PG,2021-04-12 04:48:28
336,Outjo,-20.1167,16.15,58.78,40,0,10.4,NA,2021-04-12 04:48:28
337,Nuqui,5.7125,-77.2708,78.49,87,75,0.74,CO,2021-04-12 04:48:28
338,Sisimiut,66.9395,-53.6735,30.07,66,100,11.39,GL,2021-04-12 04:48:29
339,Pontianak,-0.0333,109.3333,87.8,70,40,11.5,ID,2021-04-12 04:48:29
340,Usakos,-22.0,15.6,66.94,42,0,10.89,NA,2021-04-12 04:48:30
341,Coihaique,-45.5752,-72.0662,53.6,94,72,5.75,CL,2021-04-12 04:48:30
342,Esperance,-33.8667,121.9,68.0,77,75,29.93,AU,2021-04-12 04:48:31
343,Vila Franca Do Campo,37.7167,-25.4333,62.6,100,75,9.22,PT,2021-04-12 04:48:31
344,Torquay,50.4638,-3.5143,39.0,1,46,1.01,GB,2021-04-12 04:48:32
345,Palembang,-2.9167,104.7458,87.8,66,40,2.3,ID,2021-04-12 04:48:32
346,Kananga,-5.8958,22.4178,66.85,96,100,6.31,CD,2021-04-12 04:48:33
347,Oviedo,43.3603,-5.8448,43.0,88,6,5.99,ES,2021-04-12 04:48:34
348,Namie,37.4833,141.0,63.0,51,22,3.0,JP,2021-04-12 04:48:34
349,Pasni,25.2631,63.471,81.34,51,0,10.54,PK,2021-04-12 04:44:20
350,Luderitz,-26.6481,15.1594,73.56,44,0,5.08,NA,2021-04-12 04:48:35
351,Svetlogorsk,52.6333,29.7333,44.85,70,0,6.35,BY,2021-04-12 04:48:35
352,Segovia,41.1667,-4.0,39.0,89,11,5.39,ES,2021-04-12 04:48:36
353,Deniliquin,-35.5333,144.9667,62.01,52,26,9.33,AU,2021-04-12 04:48:36
354,Ekibastuz,51.6667,75.3667,44.53,46,47,3.78,KZ,2021-04-12 04:48:36
355,Dagana,16.5165,-15.5068,79.72,23,0,14.03,MR,2021-04-12 04:48:37
356,Wukari,7.85,9.7833,76.89,71,96,2.3,NG,2021-04-12 04:48:37
357,Chernushka,56.5072,56.0766,42.01,84,100,6.55,RU,2021-04-12 04:48:38
358,Bagdarin,54.4333,113.6,24.15,30,0,8.95,RU,2021-04-12 04:48:39
359,Eydhafushi,5.1033,73.0708,83.07,70,44,3.91,MV,2021-04-12 04:48:39
360,Macenta,8.5435,-9.471,69.73,99,76,1.66,GN,2021-04-12 04:48:39
361,Akyab,20.15,92.9,86.49,64,37,10.18,MM,2021-04-12 04:48:40
362,Hernani,43.2662,-1.9762,50.0,62,40,9.22,ES,2021-04-12 04:48:41
363,Kudahuvadhoo,2.6708,72.8944,82.53,71,54,5.93,MV,2021-04-12 04:48:41
364,Roebourne,-20.7833,117.1333,89.78,57,49,16.73,AU,2021-04-12 04:48:41
