City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
59,Turkistan,KZ,43.0,68.0,52.21,50,24,3.24,2021-04-12 18:01:25,light rain
60,Thompson,CA,55.7435,-97.8558,21.2,53,90,18.41,2021-04-12 17:57:24,overcast clouds
61,Pho Chai,TH,16.3283,103.7703,88.0,99,17,4.21,2021-04-12 18:01:26,few clouds
62,Santa Lucia,ES,27.9117,-15.5407,72.0,73,20,20.71,2021-04-12 18:01:26,few clouds
63,Hilo,US,19.7297,-155.09,66.99,68,1,5.75,2021-04-12 18:00:21,clear sky
64,Bluff,NZ,-46.6,168.3333,50.0,95,99,1.99,2021-04-12 18:01:27,light rain
65,Carnarvon,AU,-24.8667,113.6333,74.86,72,83,22.68,2021-04-12 18:01:27,broken clouds
66,Mount Gambier,AU,-37.8333,140.7667,53.6,71,100,16.11,2021-04-12 18:01:27,overcast clouds
67,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,65,75,4.61,2021-04-12 17:58:37,broken clouds
68,Albany,US,42.6001,-73.9662,53.01,65,100,3.89,2021-04-12 18:00:12,overcast clouds
69,Ballina,AU,-28.8667,153.5667,51.8,93,34,2.3,2021-04-12 18:01:28,scattered clouds
70,Hokitika,NZ,-42.7167,170.9667,56.21,89,94,8.93,2021-04-12 18:01:29,overcast clouds
71,Fremont,US,37.5483,-121.9886,64.0,100,20,5.75,2021-04-12 17:59:07,few clouds
72,Hualmay,PE,-11.0964,-77.6139,73.6,72,67,7.96,2021-04-12 18:01:14,broken clouds
73,Batemans Bay,AU,-35.7167,150.1833,51.01,79,0,3.0,2021-04-12 18:01:29,clear sky
74,Jamestown,US,42.097,-79.2353,61.0,76,90,5.75,2021-04-12 17:58:30,overcast clouds
75,Maple Creek,CA,49.9168,-109.4848,35.6,55,99,14.97,2021-04-12 18:01:30,overcast clouds
76,Namatanai,PG,-3.6667,152.4333,76.41,82,100,11.14,2021-04-12 18:01:31,light rain
77,Abu Samrah,SY,35.3029,37.1841,49.15,65,97,6.58,2021-04-12 18:01:31,overcast clouds
78,Qarayeri,AZ,40.7886,46.3066,62.6,72,40,25.32,2021-04-12 18:01:31,scattered clouds
79,Sao Filipe,CV,14.8961,-24.4956,76.84,65,36,5.19,2021-04-12 18:01:32,scattered clouds
80,Okha,RU,53.5739,142.9478,20.66,82,100,6.42,2021-04-12 18:01:32,overcast clouds
81,Keetmanshoop,NA,-26.5833,18.1333,86.0,20,0,6.91,2021-04-12 18:01:33,clear sky
82,Puerto Del Rosario,ES,28.5004,-13.8627,69.8,78,20,13.8,2021-04-12 18:01:33,few clouds
83,Baghdad,IQ,33.3406,44.4009,69.8,26,0,4.61,2021-04-12 17:57:39,clear sky
84,Dukat,RU,62.55,155.55,-23.28,100,100,4.05,2021-04-12 18:01:33,overcast clouds
85,Khatanga,RU,71.9667,102.5,23.05,94,100,9.44,2021-04-12 18:01:34,overcast clouds
86,Alta Floresta,BR,-9.8756,-56.0861,91.4,52,40,4.61,2021-04-12 18:00:36,scattered clouds
87,Nadym,RU,65.5333,72.5167,30.45,80,91,27.67,2021-04-12 18:01:35,overcast clouds
88,Sistranda,NO,63.7256,8.834,39.2,65,75,13.8,2021-04-12 18:01:35,broken clouds
89,Bredasdorp,ZA,-34.5322,20.0403,66.2,82,96,8.05,2021-04-12 18:01:36,overcast clouds
90,Ramygala,LT,55.5167,24.3,55.4,41,0,4.61,2021-04-12 18:01:36,light rain
91,Cap Malheureux,MU,-19.9842,57.6142,73.4,94,75,1.14,2021-04-12 18:01:36,light rain
92,Cayenne,GF,4.9333,-52.3333,89.6,62,20,12.66,2021-04-12 18:01:37,few clouds
93,Lorengau,PG,-2.0226,147.2712,77.47,82,100,1.59,2021-04-12 18:01:37,overcast clouds
94,Necochea,AR,-38.5473,-58.7368,79.0,46,0,3.0,2021-04-12 18:01:38,clear sky
95,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,100,5.75,2021-04-12 18:01:38,light rain
96,Whitehorse,CA,60.7161,-135.0538,32.0,69,75,20.71,2021-04-12 18:01:38,snow
97,Borogontsy,RU,62.6683,131.1683,-7.01,100,76,1.61,2021-04-12 18:01:39,broken clouds
98,Teya,RU,60.3778,92.6267,32.83,96,100,7.54,2021-04-12 18:01:39,light snow
99,Richards Bay,ZA,-28.783,32.0377,72.79,90,17,0.69,2021-04-12 18:01:40,few clouds
100,Haines Junction,CA,60.7522,-137.5108,37.4,44,80,14.97,2021-04-12 18:01:40,broken clouds
101,Los Llanos De Aridane,ES,28.6585,-17.9182,73.4,68,0,5.75,2021-04-12 18:01:40,clear sky
102,Eganville,CA,45.5334,-77.0994,60.8,44,20,9.22,2021-04-12 18:01:41,few clouds
103,Chokurdakh,RU,70.6333,147.9167,0.01,85,100,12.53,2021-04-12 18:01:41,overcast clouds
104,Chuy,UY,-33.6971,-53.4616,69.96,51,0,5.97,2021-04-12 18:01:42,clear sky
105,Gizo,SB,-8.103,156.8419,81.19,75,48,4.25,2021-04-12 18:01:42,scattered clouds
106,Koslan,RU,63.4564,48.8989,40.59,72,74,9.44,2021-04-12 18:01:43,broken clouds
107,Souillac,MU,-20.5167,57.5167,73.4,94,75,1.14,2021-04-12 18:01:43,light rain
108,Prince Rupert,CA,54.3161,-130.3201,39.2,65,1,1.61,2021-04-12 18:01:06,clear sky
109,Vaini,TO,-21.2,-175.2,71.6,88,20,5.75,2021-04-12 18:01:44,few clouds
110,Bandarbeyla,SO,9.4942,50.8122,80.22,69,70,9.13,2021-04-12 18:01:44,broken clouds
111,Utrecht,NL,52.0,5.25,43.0,74,62,5.01,2021-04-12 18:00:46,broken clouds
112,Puerto Cabezas,NI,14.0351,-83.3888,86.0,79,75,4.61,2021-04-12 18:01:45,broken clouds
113,Road Town,VG,18.4167,-64.6167,82.4,54,0,6.91,2021-04-12 17:58:08,clear sky
114,Ponta Do Sol,PT,32.6667,-17.1,68.0,88,40,13.8,2021-04-12 18:01:45,scattered clouds
115,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,20,16.11,2021-04-12 18:01:46,few clouds
116,Muromtsevo,RU,56.3724,75.2418,35.71,98,100,6.96,2021-04-12 18:01:47,overcast clouds
117,Port-Gentil,GA,-0.7193,8.7815,84.2,74,20,9.22,2021-04-12 18:01:47,few clouds
118,Arraial Do Cabo,BR,-22.9661,-42.0278,93.2,29,0,12.66,2021-04-12 18:01:47,clear sky
119,Pevek,RU,69.7008,170.3133,-24.68,99,100,5.97,2021-04-12 18:01:48,overcast clouds
120,Hithadhoo,MV,-0.6,73.0833,83.8,69,73,9.8,2021-04-12 18:01:48,broken clouds
