City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Micheweni,TZ,79.97,overcast clouds,-4.9667,39.8333,
601,Kralendijk,BQ,84.2,scattered clouds,12.15,-68.2667,
607,Todos Santos,MX,87.01,clear sky,23.45,-110.2167,
608,Palu,ID,74.52,broken clouds,-0.8917,119.8707,
611,Vanimo,PG,75.85,light rain,-2.6741,141.3028,
616,Agadez,NE,90.79,clear sky,19.75,10.25,
619,Goure,NE,89.29,clear sky,13.9835,10.2704,
622,Maputo,MZ,79.0,few clouds,-25.9653,32.5892,
626,Aswan,EG,74.35,clear sky,24.0934,32.907,
631,Abong Mbang,CM,75.24,broken clouds,3.9833,13.1833,
635,Mianwali,PK,78.42,broken clouds,32.5741,71.5264,
636,Jalu,LY,73.47,broken clouds,29.0331,21.5482,
637,Manali,IN,84.2,few clouds,13.1667,80.2667,
638,Banjar,ID,76.44,clear sky,-8.19,114.9675,
639,Umm Lajj,SA,71.56,clear sky,25.0213,37.2685,
642,La Asuncion,VE,81.81,broken clouds,11.0333,-63.8628,
643,Awjilah,LY,74.12,broken clouds,29.1081,21.2869,
644,Inhambane,MZ,77.0,scattered clouds,-23.865,35.3833,
645,Lucea,JM,84.2,few clouds,18.451,-78.1736,
652,Talcahuano,CL,71.6,clear sky,-36.7167,-73.1167,
653,Amahai,ID,82.0,broken clouds,-3.3333,128.9167,
657,Chincha Alta,PE,75.2,clear sky,-13.4099,-76.1323,
660,Kudat,MY,77.0,few clouds,6.8837,116.8477,
664,Boyolangu,ID,75.13,few clouds,-8.1181,111.8935,
666,Capul,PH,79.75,overcast clouds,12.4237,124.1811,
667,Omboue,GA,81.05,light rain,-1.5746,9.2618,
671,Ternate,ID,80.19,broken clouds,0.8,127.4,
672,Buchanan,LR,89.6,scattered clouds,5.8808,-10.0467,
680,Pau Dos Ferros,BR,86.85,overcast clouds,-6.1125,-38.2063,
683,Aitape,PG,75.78,overcast clouds,-3.1374,142.3475,
684,Muisne,EC,86.0,broken clouds,0.6,-80.0333,
688,West Bay,KY,86.0,few clouds,19.3667,-81.4167,
692,Natal,BR,87.8,scattered clouds,-5.795,-35.2094,
695,Kawalu,ID,72.93,overcast clouds,-7.3817,108.2082,
698,Dicabisagan,PH,75.87,broken clouds,17.0818,122.4157,
704,Kuah,MY,82.4,few clouds,6.3265,99.8432,
706,Boa Vista,BR,89.6,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
